Zipcode,Place Name,State,County,Lat,Lon,
45 96737,Ocean View,HI,Hawaii,19.1002,-155.725,
46 97134,Oceanside,OR,Tillamook,45.4549,-123.96,
56 63701,Cape Girardeau,MO,Cape Girardeau,37.3169,-89.545,
37 88250,Hope,NM,Eddy,32.8156,-104.729,
42 64444,Edgerton,MO,Platte,39.4742,-94.635,
43 15450,La Belle,PA,Fayette,39.9983,-79.975,
49 94278,Sacramento,CA,Sacramento,38.5816,-121.494,
45 97875,Stanfield,OR,Umatilla,45.786,-119.211,
43 68113,Offutt Afb,NE,Sarpy,41.2563,-95.940,
44 61536,Hanna City,IL,Peoria,40.6798,-89.795,
44 96837,Honolulu,HI,Honolulu,21.315,-157.863,
53 93465,Templeton,CA,San Luis Obispo,35.5551,-120.710,
42 92807,Anaheim,CA,Orange,33.8544,-117.785,
43 29936,Ridgeland,SC,Jasper,32.4807,-80.980,
38 45646,Latham,OH,Pike,39.0804,-83.328,
40 98119,Seattle,WA,King,47.6379,-122.364,
45 18660,Wapwallopen,PA,Luzerne,41.068,-76.085,
40 45769,Pomeroy,OH,Meigs,39.0607,-82.033,
41 72450,Paragould,AR,Greene,36.06,-90.525,
39 14058,Elba,NY,Genesee,43.0897,-78.170,
37 16023,Cabot,PA,Butler,40.7924,-79.7,
45 38041,Henning,TN,Lauderdale,35.6593,-89.696,
41 38754,Isola,MS,Humphreys,33.2471,-90.60,
43 12592,Wassaic,NY,Dutchess,41.7759,-73.554,
40 74761,Swink,OK,Choctaw,34.0179,-95.202,
48 33862,Lake Placid,FL,Highlands,27.2931,-81.362,
44 55329,Eden Valley,MN,Meeker,45.302,-94.603,
40 28692,Vilas,NC,Watauga,36.2574,-81.765,
40 56563,Moorhead,MN,Clay,46.8739,-96.769,
40 95913,Artois,CA,Glenn,39.6197,-122.192,
46 62794,Springfield,IL,Sangamon,39.7495,-89.60,
40 4022,Denmark,ME,Oxford,43.9755,-70.792,
38 71748,Ivan,AR,Dallas,33.9118,-92.424,
52 76908,Goodfellow Afb,TX,Tom Green,31.4321,-100.402,
42 73083,Edmond,OK,Oklahoma,35.6665,-97.465,
49 85376,Sun City West,AZ,Maricopa,33.662,-112.341,
43 38769,Rosedale,MS,Bolivar,33.8432,-90.992,
43 71461,New Llano,LA,Vernon,31.1149,-93.271,
45 34637,Land O Lakes,FL,Pasco,28.2782,-82.462,
41 80479,Toponas,CO,Routt,40.0603,-106.808,
41 80236,Denver,CO,Denver,39.6535,-105.037,
48 51536,Hancock,IA,Pottawattamie,41.3832,-95.344,
41 88124,Melrose,NM,Curry,34.4479,-103.632,
42 37755,Helenwood,TN,Scott,36.4329,-84.538,
45 37769,Lake City,TN,Anderson,36.2032,-84.138,
40 74631,Blackwell,OK,Kay,36.8006,-97.286,
45 61108,Rockford,IL,Winnebago,42.2514,-89.023,
41 25514,Fort Gay,WV,Wayne,38.1335,-82.554,
40 51531,Elk Horn,IA,Shelby,41.5829,-95.0,
47 35754,Laceys Spring,AL,Morgan,34.4996,-86.612,
40 56473,Pillager,MN,Cass,46.3607,-94.489,
38 25570,Wayne,WV,Wayne,38.2258,-82.433,
42 30019,Dacula,GA,Gwinnett,33.9883,-83.879,
44 39083,Hazlehurst,MS,Copiah,31.8562,-90.405,
46 70662,Sugartown,LA,Beauregard,30.8277,-93.01,
45 72741,Johnson,AR,Washington,36.1329,-94.165,
49 11055,Port Washington,NY,Nassau,40.7548,-73.601,
